,Total Orders,Booze Commission,Food Sales,Total Sales
Totals,4369,230,160155.08,160385.08
Sat 01 Apr,189,9.2,7200.8,7210
Sun 02 Apr,108,3.68,4083.52,4087.2
Mon 03 Apr,82,8.28,2991.12,2999.4
Tue 04 Apr,89,3.68,3091.12,3094.8
Wed 05 Apr,93,3.68,3591.84,3595.52
Thu 06 Apr,158,7.36,6271.6,6278.96
Fri 07 Apr,172,0,6587.04,6587.04
Sat 08 Apr,130,7.36,4681.76,4689.12
Sun 09 Apr,196,0,7529.68,7529.68
Mon 10 Apr,131,15.64,5120.76,5136.4
Tue 11 Apr,106,8.28,3483.92,3492.2
Wed 12 Apr,125,16.56,4467.6,4484.16
Thu 13 Apr,105,3.68,4463.04,4466.72
Fri 14 Apr,176,12.88,6337.36,6350.24
Sat 15 Apr,187,14.72,6968.88,6983.6
Sun 16 Apr,164,0,5668.16,5668.16
Mon 17 Apr,71,3.68,2833.84,2837.52
Tue 18 Apr,132,21.16,4253.92,4275.08
Wed 19 Apr,121,8.28,4029.28,4037.56
Thu 20 Apr,129,19.32,4871.76,4891.08
Fri 21 Apr,237,8.28,8502.72,8511
Sat 22 Apr,184,7.36,6716.48,6723.84
Sun 23 Apr,130,11.96,4803.04,4815
Mon 24 Apr,131,0,5087.08,5087.08
Tue 25 Apr,156,3.68,5482.96,5486.64
Wed 26 Apr,100,0,3587.12,3587.12
Thu 27 Apr,131,3.68,4391.28,4394.96
Fri 28 Apr,230,3.68,8275.68,8279.36
Sat 29 Apr,199,11.04,7721.44,7732.48
Sun 30 Apr,118,4.6,4095.64,4100.24
Mon 01 May,89,8.28,2964.64,2972.92
