,Total Orders,Booze Commission,Food Sales,Total Sales
Totals,4328,212.52,161092.36,161304.88
Wed 01 Mar,108,7.36,4071.12,4078.48
Thu 02 Mar,111,8.28,3681.64,3689.92
Fri 03 Mar,207,15.64,8534.28,8549.92
Sat 04 Mar,193,3.68,7170.52,7174.2
Sun 05 Mar,142,3.68,4797.16,4800.84
Mon 06 Mar,73,3.68,2522.08,2525.76
Tue 07 Mar,114,7.36,3674.64,3682
Wed 08 Mar,81,8.28,2905.52,2913.8
Thu 09 Mar,98,4.6,3552.4,3557
Fri 10 Mar,195,3.68,7697.24,7700.92
Sat 11 Mar,192,7.36,6811.6,6818.96
Sun 12 Mar,121,8.28,4128.64,4136.92
Mon 13 Mar,83,3.68,3229,3232.68
Tue 14 Mar,101,0,3589.12,3589.12
Wed 15 Mar,100,0,3868.8,3868.8
Thu 16 Mar,104,11.96,3834,3845.96
Fri 17 Mar,202,8.28,7793.48,7801.76
Sat 18 Mar,198,8.28,7627.44,7635.72
Sun 19 Mar,135,7.36,5115.04,5122.4
Mon 20 Mar,90,7.36,3141.96,3149.32
Tue 21 Mar,129,15.64,4660.56,4676.2
Wed 22 Mar,107,8.28,3865.56,3873.84
Thu 23 Mar,99,8.28,3524.16,3532.44
Fri 24 Mar,207,8.28,8155.36,8163.64
Sat 25 Mar,189,9.2,7315.36,7324.56
Sun 26 Mar,138,0,5195.72,5195.72
Mon 27 Mar,70,3.68,2538.64,2542.32
Tue 28 Mar,138,4.6,4568.72,4573.32
Wed 29 Mar,123,0,4386.8,4386.8
Thu 30 Mar,99,12.88,3739,3751.88
Fri 31 Mar,192,3.68,8196,8199.68
Sat 01 Apr,189,9.2,7200.8,7210
